date,ydd_hrel,mjd_hrel,3003430_hrf,3003420_hrf,8000701_hrf,3003452_hrf,3003431_hrf,3003450_hrf,3003454_hrf,8000735_hrf,3004620_hwl
2023-05-17 04:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-17 05:00:00,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-17 06:00:00,8.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
2023-05-17 07:00:00,8.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-17 08:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-17 09:00:00,8.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-17 10:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-17 11:00:00,8.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-17 12:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-17 13:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-17 14:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-17 15:00:00,8.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-17 16:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-17 17:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-17 18:00:00,8.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-17 19:00:00,8.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
