date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-12 22:00:00,11.151,0.0,1.01,0.72
2024-06-12 23:00:00,11.146,0.0,1.01,0.72
2024-06-13 00:00:00,11.145,0.0,1.01,0.72
2024-06-13 01:00:00,11.144,0.0,1.01,0.72
2024-06-13 02:00:00,11.154,0.0,1.01,0.72
2024-06-13 03:00:00,11.154,0.0,1.01,0.72
2024-06-13 04:00:00,11.151,0.0,1.01,0.72
2024-06-13 05:00:00,11.149,0.0,1.01,0.73
2024-06-13 06:00:00,11.149,0.0,1.01,0.73
2024-06-13 07:00:00,11.151,0.0,1.01,0.72
2024-06-13 08:00:00,11.163,0.0,1.01,0.73
2024-06-13 09:00:00,11.162,0.0,1.02,0.73
2024-06-13 10:00:00,11.16,0.0,1.02,0.73
2024-06-13 11:00:00,11.167,0.0,1.01,0.73
2024-06-13 12:00:00,11.173,0.0,1.01,0.73
2024-06-13 13:00:00,11.167,0.0,1.01,0.73
2024-06-13 14:00:00,11.173,0.0,1.02,0.73
2024-06-13 15:00:00,11.165,0.0,1.01,0.73
2024-06-13 16:00:00,11.171,0.0,1.01,0.72
2024-06-13 17:00:00,11.176,0.0,1.01,0.73
2024-06-13 18:00:00,11.17,0.0,1.01,0.73
2024-06-13 19:00:00,11.171,0.0,1.01,0.73
2024-06-13 20:00:00,11.172,0.0,1.02,0.72
2024-06-13 21:00:00,11.162,0.0,1.01,0.73
2024-06-13 22:00:00,11.166,0.0,1.01,0.73
2024-06-13 23:00:00,11.181,0.0,1.01,0.73
2024-06-14 00:00:00,11.169,0.0,1.01,0.73
2024-06-14 01:00:00,11.176,0.0,1.01,0.73
2024-06-14 02:00:00,11.179,0.0,1.01,0.73
2024-06-14 03:00:00,11.178,0.0,1.02,0.73
2024-06-14 04:00:00,11.182,0.0,1.02,0.73
2024-06-14 05:00:00,11.19,0.0,1.01,0.73
2024-06-14 06:00:00,11.189,0.0,1.01,0.73
2024-06-14 07:00:00,11.182,0.0,1.01,0.73
2024-06-14 08:00:00,11.185,0.0,1.01,0.73
